,text,spacy
864,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
865,rt @hulu adele wins best original song for skyfall this is her first award of any kind in her life ,
866,"rt @marieclaire new mum adele wins for ""skyfall"" and we couldnt be more excited unless clearly we were adele ",
867,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
868,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
869,adele wins for skyfall ,
870,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
871,turn on the golden globes james bond wins ,
872,what can i say is for fancy people and only the best wins,
873,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
874, i hope she wins tonight hopefully twitter finally uploaded the pic lawd ,tonight
875,"rt @huffpostent ""skyfall"" by adele wins best song unsurprisingly seriously adele should sing the theme song for every movie ",
876,"""@washingtonpost adeles wins best original song for motion picture ",
877,why does adele always act surprised when she wins ,
878,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
879,"rt @huffpostent ""skyfall"" by adele wins best song unsurprisingly seriously adele should sing the theme song for every movie ",
880,rt @heydudemeg adele wins @joeymoser83 pees himself along with the rest of the world ,
881,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
882,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
883,"rt @huffpostent ""skyfall"" by adele wins best song unsurprisingly seriously adele should sing the theme song for every movie ",
884,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
885,adele wins best original song for skyfall high fives james bond ,
886,yessssssssss rt @washingtonpost wins best tv series drama ,
887,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
888,adeles 1st tv appearance since giving birth wins best original song for skyfall thoroughly deserved ,
889,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
890,"rt @huffingtonpost ""homeland"" wins best drama at the ",
891,no need to watch the golden globes my tl is telling me who wins,
892,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
893,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
894,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
895,and adele wins best original song for skyfall such an awesome singer and person and gave a great speech ,
896,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
897,adele wins best song ,
898,"rt @marieclaire new mum adele wins for ""skyfall"" and we couldnt be more excited unless clearly we were adele ",
899,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
900,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
901,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
902,adele wins cut to taylor swift uh quick cut to someone else ,
903,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
904,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
905,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
906,"rt @marieclaire new mum adele wins for ""skyfall"" and we couldnt be more excited unless clearly we were adele ",
907,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
908,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
909,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
910,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
911,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
912,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
913,rt @washingtonpost adeles wins best original song for motion picture ,
914,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
915,yaaaayyyy wins best song we love you adele ,yaaaayyyy
916,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
917,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
918,"rt @nbcbayarea adeles ""skyfall"" wins for best original song motion picture ",
919,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
920,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
921,obviously adele wins the for her song skyfall so please darling dont fake as if it was a surprise,
922,awesome rt @shahidm yay life of pi wins for music ,
923,"rt @huffpostceleb ""skyfall"" by adele wins best song unsurprisingly ",
924,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
925,rt @tvguide adele wins for best winners reaction ,
926,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
927,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
928,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
929,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
930,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
931,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
932,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
933,"""@ap homeland wins golden globe for best tv drama series rjj""",
934,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
935,adele wins for best song also easily best speech of the night ,
936,"its my gift ""@urphillypal @anniemal can predict the future adele wins lets snog""",
937,"""skyfall"" by adele wins best song ",
938,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
939,"rt @fashionweeknyc adele wins the golden globe for best original song for ""skyfall"" ",
940,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
941,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
942,"rt @marieclaire new mum adele wins for ""skyfall"" and we couldnt be more excited unless clearly we were adele ",
943,of course @adele won at the she wins everything ,
944,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
945,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
946,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
947,rt @tjatcampuspeak taylor swift pissed that adele wins awards has babies out of wedlock and you know eats ,
948,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
949,"1 ""@cbcalerts canadian wins golden globe award for life of pi score mychael thanks wife friends in ",canadian
950,well deserved 3 rt @hypable adele wins for best original song from skyfall ,
951,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
952,"golden globes 2013 homeland wins for best tv drama showtimes ""homeland"" has won the golden globe award for best television drama",
953,"golden globes 2013 homeland wins for best tv drama showtimes ""homeland"" has won the golden globe award for best television drama",
954,rt @todayent adeles wins best original song in a motion picture ,
955,i uploaded a @youtube video adele wins golden globe award with skyfall @ 70thgolden globes 2012,
956,rt @nickdapice even adele wins at the golden globes i love her yes,
957,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
958,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
959,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
960,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
961,rt @rachaelray hope @benaffleck wins best director at but gotta say still bummed bewildered at oscar miss on director list my fave ,
962,rt @reelzchannel adele wins our award for best acceptance speech of the night so far ,
963,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
964,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
965,@ i love homeland and breaking bad as u dohomeland wins best drama serieswho would u pick cause i would take bb any day ,
966,rt @tvguide homeland continues its streak wins best tv drama ,
967,"rt @fashionweeknyc adele wins the golden globe for best original song for ""skyfall"" ",
968, wins best song at the golden globes for skyfall no competition ,
969,"""@moviefone adele wins best song for skyfall ",
970,rt @nickdapice even adele wins at the golden globes i love her yes,
971,rt @todayent adeles wins best original song in a motion picture ,
972,rt @cbcalerts canadian wins golden globe award for life of pi score mychael thanks wife friends in toronto ,rt @cbcalerts
973,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
974,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
975,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
976,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
977,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
978,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
979,"rt @soopermexican hbos ""we hate conservatives"" wins best tv movie ",
980,rt @vulture adele wins best original song for skyfall because it is not possible for adele to lose an award ,
981,rt @jckmarketplace head explodes rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall ,
982,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
983,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
984,rt @bbcnewsus want to know who wins at the follow @bbcnewsus for live tweets and red carpet coverage ,
985,"rt @nbc ""skyfall"" from skyfall wins for best original song motion picture ",
986,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
987,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
988,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
989,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
990,rt @ap homeland wins golden globe for best tv drama series rjj,
991,rt @washingtonpost adeles wins best original song for motion picture ,
992,rt @mrbateslegal maggie smith wins ,
993,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
994,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
995,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
996,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
997,if adele wins 7 golden globes everyone in the crowd gets a slice of pizza ,
998,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
999,never heard it rt @bbcnewsus wins best original song for ,
1000,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1001,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1002,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1003,i love everything about @officialadele especially when she wins at the and makes a speech,
1004, adele wins love this song ,
1005,rt @washingtonpost adeles wins best original song for motion picture ,
1006,"rt @huffpostent ""skyfall"" by adele wins best song unsurprisingly seriously adele should sing the theme song for every movie ",
1007,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1008,rt @tvguide adele wins for best winners reaction ,
1009,"yay rt""@washingtonpost maggie smith wins best supporting actress for tv performance in abbey ",smith
1010,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1011,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1012,"rt @variety winner ""life of pi"" wins best original score ",
1013,rt @brandonwenerd who wins in an adele vs taylor swift fight ,
1014,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1015,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1016,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1017,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
1018,ha ha ha lol ikr rt @andreawilliamsg taylor swift must be confused adele wins naaaww lol,
1019,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1020,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1021,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1022,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1023,adele wins skyfall plays and they show @emilydeschanel yes make her a new bond girl i approve ,
1024,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1025,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1026,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1027,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1028,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1029,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1030,today its okay for @taylorswift13 to be surprised if she wins just saying ,
1031,rt @todayent adeles wins best original song in a motion picture ,
1032,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1033,"best speech so far ""@theweek adele wins best original song for skyfall shes so charming ",
1034,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1035,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1036,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1037,"rt @usatoday new ""mum"" adele wins best original song in a motion picture for ""skyfall"" ",
1038,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1039,rt @ap homeland wins golden globe for best tv drama series rjj,
1040,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1041,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1042,rt @craigbaldo being single and unloved wins you 8 grammys having a boyfriend named simon wins you a golden globe ,rt @craigbaldo
1043,"""@usatoday new ""mum"" adele wins best original song in a motion picture for ""skyfall"" blewp",
1044,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1045,"rt @marieclaire new mum adele wins for ""skyfall"" and we couldnt be more excited unless clearly we were adele ",
1046,rt @chariot13 and taylor swift wins for best losers reaction rt @tvguide adele wins for best winners reaction ,rt @chariot13
1047,seriously can we all agree on banning adele out of all award shows this lady wins everything lol congrats momadele ,
1048,"rt @jessetyler i hope adele wins her award today so we can hear her ""fhank you speech"" love her",
1049,"rt @usatoday new ""mum"" adele wins best original song in a motion picture for ""skyfall"" ",
1050,rt @huffingtonpost adele wins best original song at the ,
1051,rt @washingtonpost wins best tv series drama ,rt @washingtonpost
1052,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1053,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1054,"rt @huffpostent ""skyfall"" by adele wins best song unsurprisingly seriously adele should sing the theme song for every movie ",
1055,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1056,rt @bbcnewsus want to know who wins at the follow @bbcnewsus for live tweets and red carpet coverage ,
1057,"""@bbcnewsus dame wins at best supporting actress in a tv movie series or miniseries for yeas",
1058,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1059, wins best original song for bbcnewsus,
1060,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1061,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1062,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1063,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1064,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
1065,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1066,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1067,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1068,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1069,rt @annagrace220 adele wins best acceptance speech ,
1070,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1071,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1072,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1073, rt @jerrycferrara jason statham wins bests original beard,rt @jerrycferrara jason statham wins
1074,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1075,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1076,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1077,yes rt @huffingtonpost adele wins best original song at the ,
1078,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1079,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1080,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1081,rt @sweetlikeali adeles skyfall wins best original song ,
1082,"rt @garrettvo ""@dannyzuker @taylorswift is better at pretending to be surprised when she wins than happy for the others when she loses ",
1083,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1084,rt @huffingtonpost adele wins best original song at the ,
1085,"rt @apentertainment best tv drama is ""homeland"" back to back wins for the show tonight ",
1086,"rt @fashionweeknyc adele wins the golden globe for best original song for ""skyfall"" ",
1087,@officialadele wins best song love to a class act w a voice from another world plus she knows how to rock red nails ,@officialadele
1088,rt @huffingtonpost adele wins best original song at the ,
1089,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1090,yuppp rt @huffingtonpost adele wins best original song at the ,
1091,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1092,rt @itzrobstenbitch adele wins best original song for skyfall congrats ,
1093,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1094,"rt @fashionweeknyc adele wins the golden globe for best original song for ""skyfall"" ",
1095,"@officialadele wins best original song for ""skyfall"" at and she looks gorgeous too ",@officialadele
1096,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1097,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
1098,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1099,adeles skyfall wins best original song for motion picture at the golden globes,
1100,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1101,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1102,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1103,rt @fashionfoiegras yeah adele wins for best song says she was just there for a night out brilliant,
1104,"rt @thr mychael danna wins the for best score motion picture for ""life of pi"" ",rt @thr mychael danna
1105, rightfully wins and finally brings some fecking life to it all good on ya adele ,
1106,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1107,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1108,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1109,rt @huffingtonpost adele wins best original song at the ,
1110,hey golden globes fewer awards and more amy poehler doing her thing nobody cares who wins these things i just want to laugh,
1111,"""@huffingtonpost adele wins best original song at the she is adele gold",
1112,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
1113,rt @skynews golden globes homelands damian lewis wins ,
1114,"rt @thr ""skyfall"" from ""skyfall"" wins the for best original song in a motion picture ",
1115,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1116,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1117,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1118,a little behind the globes dvr but really if damian lewis wins any more awards for season 2 ,
1119,adele wins for best acceptance speech so far ,
1120,pos so s rt @emilcdc adele wins over taylor swift justice is served ,
1121,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1122,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1123,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1124,"""@bbcnewsus wins best original song for should have been domino by jessie j",
1125,adele wins for ,
1126,adele wins gglobe for best original song w skyfall love her so talented so humble so well deserved ,
1127,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1128,rt @amwithenshaw dont call it a comeback wins best original song for skyball ,rt @amwithenshaw
1129,rt @bbcnewsus wins best original song for ,rt @bbcnewsus
1130,rt @pagesix adele wins original song motion picture skyfall ,
1131,adele wins for best speech so far ,
1132,rt @atheniav adele wins for the most honest and refreshing aceptance speech in a long time for theme song well deserved ,
1133,thr golden globes 2013 christoph waltz wins best supporting actor globe for django unchained adele takes be ,
1134,rt @huffingtonpost adele wins best original song at the ,
1135,golden globes 2013 christoph waltz wins best supporting actor globe for django unchained ,
1136,rt @todayent adeles wins best original song in a motion picture ,
1137,golden globes 2013 christoph waltz wins best supporting actor globe for django unchained adele takes best so ,
1138,@bendreyfuss rt @dannyzuker swift better at pretending 2 be surprised whn she wins thn hapy 4 other artists whn she loses ,
1139,rt @tvguide adele wins for best winners reaction ,
1140,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1141,"""@huffingtonpost adele wins best original song at the ",
1142,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1143,rt @ap skyfall by adele and paul epworth wins golden globe for original song rjj,
1144,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1145,rt @jawannbc6 adele continues to rock wins best original song for motion picture ,
1146,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1147,rt @charliewhiting adele wins a award for skyfall thus proving to @adamhaynicholls that daniel craig is a better bond than roger moore,daniel craig
1148,jessica alba wins the award for best necklace ,jessica alba
1149,@goldenglobes if wins best someone will get pissed,
1150,rt @huffingtonpost adele wins best original song at the ,
1151,rt @ap skyfall by adele and paul epworth wins golden globe for original song rjj,
1152,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1153,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1154,"rt @fashionweeknyc adele wins the golden globe for best original song for ""skyfall"" ",
1155,rt @theonion justin timberlake wins golden globe for funniest goofball at his table ,
1156,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1157,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1158,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1159,kevin costner wins tv miniseriesmovie actor ,kevin costner
1160,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1161,always look forward to @officialadele acceptance speeches when she wins awardsshe is so adorable ,
1162,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1163,@starringrico hope modern family wins big ,
1164,rt @dchoppin adle wins for best speech ,
1165,and kevin costner wins best actor in a miniseries or motion picture made for television for hatfields mccoys ,kevin costner
1166,rt @simplecrazy8810 can i just say i love how genuine adele comes across when she wins love her so so much ,
1167,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1168,yay rt @ap skyfall by adele and paul epworth wins golden globe for original song rjj,
1169,rt @coslive adele wins best original song for skyfall ,
1170,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1171,that awkward moment when adele wins a golden globe and all you can think about is fat amy ,
1172,@animat505 in finland at a 4 night and woke up to watch the gala just to see who wins best animation golden globes,
1173,"rt @fashionweeknyc adele wins the golden globe for best original song for ""skyfall"" ",
1174,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1175,rt @wilkinsonkyle adele wins best thank you speech so far lolol ,
1176,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1177,rt @ap skyfall by adele and paul epworth wins golden globe for original song rjj,
1178,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1179,and kevin coatner wins or ,
1180, rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1181,rt @knxdavid kevin costner wins for best actor in a miniseries or tv movie history channels hatfields mccoys @knx1070,
1182,"winner kevin costner wins for best actor in a miniseries ""hatfields mccoys"" ",
1183,rt @ap skyfall by adele and paul epworth wins golden globe for original song rjj,
1184,"kevin costner of ""hatfields mccoys"" wins best actor in a miniseriestv movie at the ",kevin costner
1185,@emwatson maggie wins too ,
1186,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1187,this is why i hate the no one i want to win ever freaking wins,
1188,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1189,rt @bryantbubbly adele wins everything because shes flawless and deserves it you go gurl ,
1190,kevin costner wins for hattfields mccoys i loved that series ,kevin costner
1191,"rt @variety winner kevin costner wins for best actor in a miniseries ""hatfields mccoys"" ",
1192,rt @choebe adele wins skyfall plays and they show @emilydeschanel yes make her a new bond girl i approve ,
1193,golden globes 2013 homeland wins for best tv drama ,
1194,i read that golden globes 2013 homeland wins best drama ,
1195,"rt @thr kevin costner wins the for best actor in a miniseries or tv movie for ""hatfields and mccoys"" ",rt @thr kevin costner
1196,rt @goryango adele wins at life ,
1197,rt @huffingtonpost adele wins best original song at the ,
1198,"rt @thr kevin costner wins the for best actor in a miniseries or tv movie for ""hatfields and mccoys"" ",rt @thr kevin costner
1199,kevin costner wins best actor tv movie or mini and he could care less ,kevin costner
1200,"rt @variety winner kevin costner wins for best actor in a miniseries ""hatfields mccoys"" ",
1201,"kevin costner wins for best actor in a miniseries or tv movie watched ""hatfields mccoys"" recently well done ",
1202, is a bs show when kevin costner wins an acting award ugh,kevin costner
1203,"kevin costner wins for best actor in a miniseries for ""hatfields and mccoys"" ",
1204,rt @petergtmt pa kent fathers super sons and wins awards like a boss ,
1205,kevin costner wins best actor mini series tv movie ,kevin costner
1206,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1207,rt @vanityfair adele and daniel craig adorably highfive after she wins original song for skfyall james bond at the ,
1208,"@officialadele wins best song ""skyfall"" a well deserved win ",@officialadele
1209,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1210,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
1211,rt @ap homeland wins golden globe for best tv drama series rjj,
1212,"rt @huffpostceleb ""skyfall"" by adele wins best song unsurprisingly ",
1213,love watching with @ninabutt she doesnt care who wins shes just concerned where people are seated hahaha,
1214,"kevin costner wins for ""hatfields and mccoys"" last won for ""dances with wolves"" ",
1215,rt @tvgmdamian kevin costner wins best actor tv movie or mini and he could care less ,kevin costner
1216,rt @dannyzuker taylor swift is better at pretending to be surprised when she wins than happy for the other artist when she loses ,
